Alien,83.267
Metropolis,25.653
Good Will Hunting,69.679
Soul,104.4
The Father,43.322
Purple Hearts,73.028
Full Metal Jacket,36.998
"Red, White & Royal Blue",103.594
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,26.293
The Truman Show,77.672
Mortal Kombat Legends: Scorpion's Revenge,84.353
The Hunt,26.822
Terminator 2: Judgment Day,89.304
The Tale of The Princess Kaguya,45.054
In the Mood for Love,33.276
Harry Potter and the Deathly Hallows: Part 2,154.583
Eternal Sunshine of the Spotless Mind,57.073
My Fault,310.835
Incendies,25.251
M,22.457
"Paris, Texas",29.647
Prisoners,50.267
Sound of Freedom,415.938
There Will Be Blood,45.157
La Haine,27.406
Pride & Prejudice,69.113
Lion,30.622
"Three Billboards Outside Ebbing, Missouri",30.922
WALL·E,101.062
2001: A Space Odyssey,57.481
Das Boot,29.936
New Gods: Nezha Reborn,43.082
Ran,20.361
How to Train Your Dragon: Homecoming,55.595
Andrei Rublev,20.127
A Taxi Driver,28.762
My Neighbor Totoro,70.003
Memories of Murder,35.444
Paper Lives,20.628
Elite Squad,32.756
The 400 Blows,20.341
Hidden Figures,108.494
My Name Is Khan,24.528
The Thing,52.101
The Grand Budapest Hotel,49.861
A Dog's Journey,52.518
The Elephant Man,20.226
Cruella,99.637
Gifted,62.59
"Love, Simon",28.951
Jojo Rabbit,46.294
Amadeus,32.115
The Wolf of Wall Street,103.42
Room,22.595
Loving Vincent,21.552
"Rome, Open City",20.468
American Beauty,45.561
The Sting,45.291
Harry Potter and the Prisoner of Azkaban,204.214
Dial M for Murder,25.245
For a Few Dollars More,42.156
Citizen Kane,40.691
Ford v Ferrari,151.732
Casino,43.902
Barry Lyndon,28.821
Hachi: A Dog's Tale,50.003
Guardians of the Galaxy Vol. 3,278.052
The Imitation Game,65.09
Nobody,78.309
Chungking Express,42.69
Weathering with You,58.204
Paperman,21.782
To Kill a Mockingbird,33.301
The Deer Hunter,33.219
In This Corner of the World,25.993
Bohemian Rhapsody,67.648
Gran Torino,47.864
Gran Turismo,481.406
The Boy and the Beast,30.3
Suzume,121.02
1917,51.353
3 Idiots,39.164
No Manches Frida 2,47.728
The Secret in Their Eyes,24.114
North by Northwest,32.352
Flipped,42.081
Spider-Man: No Way Home,383.751
Lawrence of Arabia,38.036
Like Stars on Earth,25.703
Forgotten,31.169
The General,21.216
Catch Me If You Can,64.429
Nimona,66.623
Toy Story,123.853
Kill Bill: Vol. 1,62.354
Castle in the Sky,50.87
Trainspotting,34.947
Before Sunrise,36.544
The Treasure of the Sierra Madre,23.969
Gone with the Wind,49.256
CODA,45.353
Rope,27.293
Raging Bull,30.376
Million Dollar Baby,31.881
Million Dollar Baby,31.881
When Marnie Was There,46.28
Up,123.427
The Cabinet of Dr. Caligari,20.384
Wish Dragon,71.1
The Third Man,21.866
Three Colors: Red,28.59
12 Years a Slave,34.865
The Sixth Sense,54.986
Akira,45.482
The Great Escape,50.523
A Trip to the Moon,25.615
Jurassic Park,31.442
On the Waterfront,25.715
No Country for Old Men,51.393
Aliens,86.962
Braveheart,52.396
Blade Runner,73.015
Charm City Kings,32.085
Dallas Buyers Club,30.267
Whisper of the Heart,49.185
The Iron Giant,68.365
Ghost in the Shell,42.189
Don't Look Now... We're Being Shot At!,23.735
The Whale,87.884
The Mitchells vs. the Machines,56.349
Raiders of the Lost Ark,59.742
Nausicaä of the Valley of the Wind,41.037
"Batman: The Dark Knight Returns, Part 2",34.635
What Ever Happened to Baby Jane?,22.104
Ne Zha,20.228
Dangal,22.127
Finch,65.73
Bad Genius,24.296
The Boy Who Harnessed the Wind,36.165
Inside Out,251.229
Chinatown,40.601
A Street Cat Named Bob,29.792
Farewell My Concubine,21.172
Thirteen Lives,44.988
Dragon Ball Super: Super Hero,99.107
Me Before You,154.956
Mulan,103.802
Harry Potter and the Philosopher's Stone,191.153
Captain Fantastic,36.234
Freedom Writers,34.56
Unforgiven,44.046
About Time,58.071
Rebecca,21.28
Justice League: The Flashpoint Paradox,34.194
Heat,64.43
Sing 2,139.271
Guardians of the Galaxy,54.527
Amélie,34.034
Just Mercy,30.394
The Greatest Showman,58.569
The Pursuit of Happyness,57.533
La La Land,59.231
My Hero Academia: Two Heroes,58.933
Young Frankenstein,24.428
Titanic,132.667
A Whisker Away,77.372
In the Name of the Father,21.57
V for Vendetta,50.849
Tokyo Godfathers,22.055
Miraculous World: Shanghai – The Legend of Ladydragon,71.045
Little Women,49.665
Return of the Jedi,44.485
Gone Girl,109.965
Regular Show: The Movie,24.843
The Night of the Hunter,23.557
Emancipation,57.091
Raya and the Last Dragon,91.376
The Notebook,72.581
Words on Bathroom Walls,26.638
Five Nights at Freddy's,1252.998
Roman Holiday,27.56
Close to the Horizon,20.596
